name,state,idIBGE
Adamantina,SP,3500105
Adolfo,SP,3500204
Aguaí,SP,3500303
Águas da Prata,SP,3500402
Águas de Lindóia,SP,3500501
Águas de Santa Bárbara,SP,3500550
Águas de São Pedro,SP,3500600
Agudos,SP,3500709
Alambari,SP,3500758
Alfredo Marcondes,SP,3500808
Altair,SP,3500907
Altinópolis,SP,3501004
Alto Alegre,SP,3501103
Alumínio,SP,3501152
Álvares Florence,SP,3501202
Álvares Machado,SP,3501301
Álvaro de Carvalho,SP,3501400
Alvinlândia,SP,3501509
Americana,SP,3501608
Américo Brasiliense,SP,3501707
Américo de Campos,SP,3501806
Amparo,SP,3501905
Analândia,SP,3502002
Andradina,SP,3502101
Angatuba,SP,3502200
Anhembi,SP,3502309
Anhumas,SP,3502408
Aparecida,SP,3502507
Aparecida d'Oeste,SP,3502606
Apiaí,SP,3502705
Araçariguama,SP,3502754
Araçatuba,SP,3502804
Araçoiaba da Serra,SP,3502903
Aramina,SP,3503000
Arandu,SP,3503109
Arapeí,SP,3503158
Araraquara,SP,3503208
Araras,SP,3503307
Arco-Íris,SP,3503356
Arealva,SP,3503406
Areias,SP,3503505
Areiópolis,SP,3503604
Ariranha,SP,3503703
Artur Nogueira,SP,3503802
Arujá,SP,3503901
Aspásia,SP,3503950
Assis,SP,3504008
Atibaia,SP,3504107
Auriflama,SP,3504206
Avaí,SP,3504305
Avanhandava,SP,3504404
Avaré,SP,3504503
Bady Bassitt,SP,3504602
Balbinos,SP,3504701
Bálsamo,SP,3504800
Bananal,SP,3504909
Barão de Antonina,SP,3505005
Barbosa,SP,3505104
Bariri,SP,3505203
Barra Bonita,SP,3505302
Barra do Chapéu,SP,3505351
Barra do Turvo,SP,3505401
Barretos,SP,3505500
Barrinha,SP,3505609
Barueri,SP,3505708
Bastos,SP,3505807
Batatais,SP,3505906
Bauru,SP,3506003
Bebedouro,SP,3506102
Bento de Abreu,SP,3506201
Bernardino de Campos,SP,3506300
Bertioga,SP,3506359
Bilac,SP,3506409
Birigui,SP,3506508
Biritiba-Mirim,SP,3506607
Boa Esperança do Sul,SP,3506706
Bocaina,SP,3506805
Bofete,SP,3506904
Boituva,SP,3507001
Bom Jesus dos Perdões,SP,3507100
Bom Sucesso de Itararé,SP,3507159
Borá,SP,3507209
Boracéia,SP,3507308
Borborema,SP,3507407
Borebi,SP,3507456
Botucatu,SP,3507506
Bragança Paulista,SP,3507605
Braúna,SP,3507704
Brejo Alegre,SP,3507753
Brodowski,SP,3507803
Brotas,SP,3507902
Buri,SP,3508009
Buritama,SP,3508108
Buritizal,SP,3508207
Cabrália Paulista,SP,3508306
Cabreúva,SP,3508405
Caçapava,SP,3508504
Cachoeira Paulista,SP,3508603
Caconde,SP,3508702
Cafelândia,SP,3508801
Caiabu,SP,3508900
Caieiras,SP,3509007
Caiuá,SP,3509106
Cajamar,SP,3509205
Cajati,SP,3509254
Cajobi,SP,3509304
Cajuru,SP,3509403
Campina do Monte Alegre,SP,3509452
Campinas,SP,3509502
Campo Limpo Paulista,SP,3509601
Campos do Jordão,SP,3509700
Campos Novos Paulista,SP,3509809
Cananéia,SP,3509908
Canas,SP,3509957
Cândido Mota,SP,3510005
Cândido Rodrigues,SP,3510104
Canitar,SP,3510153
Capão Bonito,SP,3510203
Capela do Alto,SP,3510302
Capivari,SP,3510401
Caraguatatuba,SP,3510500
Carapicuíba,SP,3510609
Cardoso,SP,3510708
Casa Branca,SP,3510807
Cássia dos Coqueiros,SP,3510906
Castilho,SP,3511003
Catanduva,SP,3511102
Catiguá,SP,3511201
Cedral,SP,3511300
Cerqueira César,SP,3511409
Cerquilho,SP,3511508
Cesário Lange,SP,3511607
Charqueada,SP,3511706
Chavantes,SP,3557204
Clementina,SP,3511904
Colina,SP,3512001
Colômbia,SP,3512100
Conchal,SP,3512209
Conchas,SP,3512308
Cordeirópolis,SP,3512407
Coroados,SP,3512506
Coronel Macedo,SP,3512605
Corumbataí,SP,3512704
Cosmópolis,SP,3512803
Cosmorama,SP,3512902
Cotia,SP,3513009
Cravinhos,SP,3513108
Cristais Paulista,SP,3513207
Cruzália,SP,3513306
Cruzeiro,SP,3513405
Cubatão,SP,3513504
Cunha,SP,3513603
Descalvado,SP,3513702
Diadema,SP,3513801
Dirce Reis,SP,3513850
Divinolândia,SP,3513900
Dobrada,SP,3514007
Dois Córregos,SP,3514106
Dolcinópolis,SP,3514205
Dourado,SP,3514304
Dracena,SP,3514403
Duartina,SP,3514502
Dumont,SP,3514601
Echaporã,SP,3514700
Eldorado,SP,3514809
Elias Fausto,SP,3514908
Elisiário,SP,3514924
Embaúba,SP,3514957
Embu das Artes,SP,3515004
Embu-Guaçu,SP,3515103
Emilianópolis,SP,3515129
Engenheiro Coelho,SP,3515152
Espírito Santo do Pinhal,SP,3515186
Espírito Santo do Turvo,SP,3515194
Estiva Gerbi,SP,3557303
Estrela d'Oeste,SP,3515202
Estrela do Norte,SP,3515301
Euclides da Cunha Paulista,SP,3515350
Fartura,SP,3515400
Fernando Prestes,SP,3515608
Fernandópolis,SP,3515509
Fernão,SP,3515657
Ferraz de Vasconcelos,SP,3515707
Flora Rica,SP,3515806
Floreal,SP,3515905
Flórida Paulista,SP,3516002
Florínea,SP,3516101
Franca,SP,3516200
Francisco Morato,SP,3516309
Franco da Rocha,SP,3516408
Gabriel Monteiro,SP,3516507
Gália,SP,3516606
Garça,SP,3516705
Gastão Vidigal,SP,3516804
Gavião Peixoto,SP,3516853
General Salgado,SP,3516903
Getulina,SP,3517000
Glicério,SP,3517109
Guaiçara,SP,3517208
Guaimbê,SP,3517307
Guaíra,SP,3517406
Guapiaçu,SP,3517505
Guapiara,SP,3517604
Guará,SP,3517703
Guaraçaí,SP,3517802
Guaraci,SP,3517901
Guarani d'Oeste,SP,3518008
Guarantã,SP,3518107
Guararapes,SP,3518206
Guararema,SP,3518305
Guaratinguetá,SP,3518404
Guareí,SP,3518503
Guariba,SP,3518602
Guarujá,SP,3518701
Guarulhos,SP,3518800
Guatapará,SP,3518859
Guzolândia,SP,3518909
Herculândia,SP,3519006
Holambra,SP,3519055
Hortolândia,SP,3519071
Iacanga,SP,3519105
Iacri,SP,3519204
Iaras,SP,3519253
Ibaté,SP,3519303
Ibirá,SP,3519402
Ibirarema,SP,3519501
Ibitinga,SP,3519600
Ibiúna,SP,3519709
Icém,SP,3519808
Iepê,SP,3519907
Igaraçu do Tietê,SP,3520004
Igarapava,SP,3520103
Igaratá,SP,3520202
Iguape,SP,3520301
Ilha Comprida,SP,3520426
Ilha Solteira,SP,3520442
Ilhabela,SP,3520400
Indaiatuba,SP,3520509
Indiana,SP,3520608
Indiaporã,SP,3520707
Inúbia Paulista,SP,3520806
Ipaussu,SP,3520905
Iperó,SP,3521002
Ipeúna,SP,3521101
Ipiguá,SP,3521150
Iporanga,SP,3521200
Ipuã,SP,3521309
Iracemápolis,SP,3521408
Irapuã,SP,3521507
Irapuru,SP,3521606
Itaberá,SP,3521705
Itaí,SP,3521804
Itajobi,SP,3521903
Itaju,SP,3522000
Itanhaém,SP,3522109
Itaóca,SP,3522158
Itapecerica da Serra,SP,3522208
Itapetininga,SP,3522307
Itapeva,SP,3522406
Itapevi,SP,3522505
Itapira,SP,3522604
Itapirapuã Paulista,SP,3522653
Itápolis,SP,3522703
Itaporanga,SP,3522802
Itapuí,SP,3522901
Itapura,SP,3523008
Itaquaquecetuba,SP,3523107
Itararé,SP,3523206
Itariri,SP,3523305
Itatiba,SP,3523404
Itatinga,SP,3523503
Itirapina,SP,3523602
Itirapuã,SP,3523701
Itobi,SP,3523800
Itu,SP,3523909
Itupeva,SP,3524006
Ituverava,SP,3524105
Jaborandi,SP,3524204
Jaboticabal,SP,3524303
Jacareí,SP,3524402
Jaci,SP,3524501
Jacupiranga,SP,3524600
Jaguariúna,SP,3524709
Jales,SP,3524808
Jambeiro,SP,3524907
Jandira,SP,3525003
Jardinópolis,SP,3525102
Jarinu,SP,3525201
Jaú,SP,3525300
Jeriquara,SP,3525409
Joanópolis,SP,3525508
João Ramalho,SP,3525607
José Bonifácio,SP,3525706
Júlio Mesquita,SP,3525805
Jumirim,SP,3525854
Jundiaí,SP,3525904
Junqueirópolis,SP,3526001
Juquiá,SP,3526100
Juquitiba,SP,3526209
Lagoinha,SP,3526308
Laranjal Paulista,SP,3526407
Lavínia,SP,3526506
Lavrinhas,SP,3526605
Leme,SP,3526704
Lençóis Paulista,SP,3526803
Limeira,SP,3526902
Lindóia,SP,3527009
Lins,SP,3527108
Lorena,SP,3527207
Lourdes,SP,3527256
Louveira,SP,3527306
Lucélia,SP,3527405
Lucianópolis,SP,3527504
Luís Antônio,SP,3527603
Luiziânia,SP,3527702
Lupércio,SP,3527801
Lutécia,SP,3527900
Macatuba,SP,3528007
Macaubal,SP,3528106
Macedônia,SP,3528205
Magda,SP,3528304
Mairinque,SP,3528403
Mairiporã,SP,3528502
Manduri,SP,3528601
Marabá Paulista,SP,3528700
Maracaí,SP,3528809
Marapoama,SP,3528858
Mariápolis,SP,3528908
Marília,SP,3529005
Marinópolis,SP,3529104
Martinópolis,SP,3529203
Matão,SP,3529302
Mauá,SP,3529401
Mendonça,SP,3529500
