name,state,idIBGE
Angra dos Reis,RJ,3300100
Aperibé,RJ,3300159
Araruama,RJ,3300209
Areal,RJ,3300225
Armação dos Búzios,RJ,3300233
Arraial do Cabo,RJ,3300258
Barra do Piraí,RJ,3300308
Barra Mansa,RJ,3300407
Belford Roxo,RJ,3300456
Bom Jardim,RJ,3300506
Bom Jesus do Itabapoana,RJ,3300605
Cabo Frio,RJ,3300704
Cachoeiras de Macacu,RJ,3300803
Cambuci,RJ,3300902
Campos dos Goytacazes,RJ,3301009
Cantagalo,RJ,3301108
Carapebus,RJ,3300936
Cardoso Moreira,RJ,3301157
Carmo,RJ,3301207
Casimiro de Abreu,RJ,3301306
Comendador Levy Gasparian,RJ,3300951
Conceição de Macabu,RJ,3301405
Cordeiro,RJ,3301504
Duas Barras,RJ,3301603
Duque de Caxias,RJ,3301702
Engenheiro Paulo de Frontin,RJ,3301801
Guapimirim,RJ,3301850
Iguaba Grande,RJ,3301876
Itaboraí,RJ,3301900
Itaguaí,RJ,3302007
Italva,RJ,3302056
Itaocara,RJ,3302106
Itaperuna,RJ,3302205
Itatiaia,RJ,3302254
Japeri,RJ,3302270
Laje do Muriaé,RJ,3302304
Macaé,RJ,3302403
Macuco,RJ,3302452
Magé,RJ,3302502
Mangaratiba,RJ,3302601
Maricá,RJ,3302700
Mendes,RJ,3302809
Mesquita,RJ,3302858
Miguel Pereira,RJ,3302908
Miracema,RJ,3303005
Natividade,RJ,3303104
Nilópolis,RJ,3303203
Niterói,RJ,3303302
Nova Friburgo,RJ,3303401
Nova Iguaçu,RJ,3303500
Paracambi,RJ,3303609
Paraíba do Sul,RJ,3303708
Paraty,RJ,3303807
Paty do Alferes,RJ,3303856
Petrópolis,RJ,3303906
Pinheiral,RJ,3303955
Piraí,RJ,3304003
Porciúncula,RJ,3304102
Porto Real,RJ,3304110
Quatis,RJ,3304128
Queimados,RJ,3304144
Quissamã,RJ,3304151
Resende,RJ,3304201
Rio Bonito,RJ,3304300
Rio Claro,RJ,3304409
Rio das Flores,RJ,3304508
Rio das Ostras,RJ,3304524
Rio de Janeiro,RJ,3304557
Santa Maria Madalena,RJ,3304607
Santo Antônio de Pádua,RJ,3304706
São Fidélis,RJ,3304805
São Francisco de Itabapoana,RJ,3304755
São Gonçalo,RJ,3304904
São João da Barra,RJ,3305000
São João de Meriti,RJ,3305109
São José de Ubá,RJ,3305133
São José do Vale do Rio Preto,RJ,3305158
São Pedro da Aldeia,RJ,3305208
São Sebastião do Alto,RJ,3305307
Sapucaia,RJ,3305406
Saquarema,RJ,3305505
Seropédica,RJ,3305554
Silva Jardim,RJ,3305604
Sumidouro,RJ,3305703
Tanguá,RJ,3305752
Teresópolis,RJ,3305802
Trajano de Moraes,RJ,3305901
Três Rios,RJ,3306008
Valença,RJ,3306107
Varre-Sai,RJ,3306156
Vassouras,RJ,3306206
Volta Redonda,RJ,3306305
